,sum_tx_ether,avg_tx_gas_cost,tx_date
0,2485365.4827243406,0.0025070805067930967,2021-01-01
1,2538941.142677337,0.003606040095685454,2021-01-02
2,5777347.838728666,0.0060674263484878435,2021-01-03
3,7549099.272294311,0.007897610790181479,2021-01-04
4,4720089.782614864,0.0047100717367738205,2021-01-05
5,5608132.569679363,0.004019609830940327,2021-01-06
6,5603748.682775988,0.003927508606206094,2021-01-07
7,5897191.016421121,0.00436023397640857,2021-01-08
8,3173109.8798704827,0.0030608610335812816,2021-01-09
9,3345674.6321375673,0.0028449929547098214,2021-01-10
10,6694284.248480368,0.0068503500023859775,2021-01-11
11,3629415.5534407343,0.0030786046316895045,2021-01-12
12,3859618.1300127427,0.002372224246103232,2021-01-13
13,6605437.484023075,0.0028753462317522185,2021-01-14
14,3712767.435864905,0.0029996940401127393,2021-01-15
15,2845170.4406951596,0.002754419830210597,2021-01-16
16,2380353.322400338,0.002237801216261083,2021-01-17
17,2856536.4468022212,0.002528771596291568,2021-01-18
18,5429715.633049916,0.0032419572874553193,2021-01-19
19,5756336.673835052,0.0027331041131828247,2021-01-20
20,4352329.880227708,0.004134001270303978,2021-01-21
21,4598738.377290487,0.004258421167992867,2021-01-22
22,2429675.174343205,0.00284169452324618,2021-01-23
23,3071417.356839034,0.002936220099111021,2021-01-24
24,3966857.1134892805,0.003784751229799174,2021-01-25
25,3965438.5083341417,0.002970700281496877,2021-01-26
26,3919288.071251335,0.0035945547143212808,2021-01-27
27,3366112.897195576,0.0034411624831220543,2021-01-28
28,5228656.706560624,0.004353042607259068,2021-01-29
29,3223397.641026103,0.004093899992359076,2021-01-30
30,2964126.458035523,0.004907500122132937,2021-01-31
31,3128694.0324307038,0.005406331476019377,2021-02-01
32,4966276.475883199,0.005948863975906989,2021-02-02
33,4676157.530908232,0.0057416427562564445,2021-02-03
34,5010009.66299375,0.007605798376962663,2021-02-04
35,4222347.051578301,0.00832236858612861,2021-02-05
36,3424582.078980841,0.005807456710324727,2021-02-06
37,2924829.7563810516,0.005700398509562954,2021-02-07
38,3963873.8239719686,0.006974661126090359,2021-02-08
39,3560702.8352410286,0.007940360189986485,2021-02-09
40,3552341.1589264977,0.006874540091170656,2021-02-10
41,2988978.3878047443,0.005896720625462718,2021-02-11
42,3285235.913978914,0.006130754235688266,2021-02-12
43,2191387.410885613,0.0066113189355940126,2021-02-13
44,2127518.76959945,0.005392511420577617,2021-02-14
45,2714798.208158687,0.006290600774249865,2021-02-15
46,2784345.5865556006,0.006321304106253956,2021-02-16
47,3116898.5926093245,0.006130210604742886,2021-02-17
48,3718956.136079934,0.006197292003443533,2021-02-18
49,3001089.6478879354,0.006183972940370409,2021-02-19
50,3505422.113603294,0.006287247965005678,2021-02-20
51,2299142.1575042256,0.0049819426154945655,2021-02-21
52,4120744.2682961556,0.008779883619677279,2021-02-22
53,6965692.1674200995,0.010468552979991939,2021-02-23
54,3861276.446623768,0.006946485259147162,2021-02-24
55,3310924.0177416042,0.005587159115962193,2021-02-25
56,4138174.613781797,0.005303082583357416,2021-02-26
57,2548199.18956482,0.004227634403675522,2021-02-27
58,3338440.868299679,0.004287253401640925,2021-02-28
59,3320086.602405579,0.004613029933131504,2021-03-01
60,3116879.058789522,0.004419291177646423,2021-03-02
61,2658741.955922857,0.004489558503612381,2021-03-03
62,3050175.94910875,0.0038632127578109303,2021-03-04
63,2757923.8218215755,0.0052791356423948265,2021-03-05
64,2712323.4115448864,0.003553334556074772,2021-03-06
65,5159752.76992344,0.005029594144214036,2021-03-07
66,3186940.993786405,0.005052406941095457,2021-03-08
67,3139200.082608449,0.00492019752697336,2021-03-09
68,2999222.261431327,0.004862074901110463,2021-03-10
69,3082575.883107539,0.0044798858181470886,2021-03-11
70,3863725.6439360664,0.0060633445698974045,2021-03-12
71,2364089.9772696523,0.005864350753405894,2021-03-13
72,1693657.8597241414,0.005762707830671785,2021-03-14
73,3576074.2396083605,0.006969962474537211,2021-03-15
74,3057105.7247667885,0.0069864486146346515,2021-03-16
75,2818378.0284667052,0.007542041885306257,2021-03-17
76,2545042.771912229,0.006632007214669215,2021-03-18
77,2176220.2967697848,0.005847452955827573,2021-03-19
78,1776789.8571487674,0.005430316878827655,2021-03-20
79,1948727.8992866515,0.005529259441792605,2021-03-21
